EnteredTimestamp,EventTimestamp,EnteredBy,CounterpartyViewCode,ExchangeAccountCode,InstrumentViewCode,BuySell,BuySellQualifier,OrderValue,OrderPrice,OrderStatus,VolumeDone,AveragePrice,VolumeLeft,MarketId,OrderNotes,RouteId,ExchangeOrderId,OrderFlags,ErrorText,CompletionReason,ExpiryTimestamp,ExpiryType,OrderId,OrderVersion,ParentOrderId,Currency,StartOfDayQty,GrossPriceToday,VolumeDoneToday,TradeAmountToday
20180626 09:36:49.658919 +0800 ,20180626 09:36:50.815273 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D09,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471563DOSG1,1,ITGS11800801-20180626,SGD,5000.0,,0,0
20180626 09:36:52.174925 +0800 ,20180626 09:36:53.358601 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D0B,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471564DOSG1,1,ITGS11800804-20180626,SGD,5000.0,,0,0
20180626 09:36:54.692233 +0800 ,20180626 09:36:55.904356 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D0D,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471565DOSG1,1,ITGS11800807-20180626,SGD,5000.0,,0,0
20180626 09:36:57.200333 +0800 ,20180626 09:36:58.340504 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D0F,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471566DOSG1,1,ITGS11800810-20180626,SGD,5000.0,,0,0
20180626 09:36:59.712099 +0800 ,20180626 09:37:00.880715 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D11,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471567DOSG1,1,ITGS11800816-20180626,SGD,5000.0,,0,0
20180626 09:37:02.232174 +0800 ,20180626 09:37:03.431458 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D13,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471568DOSG1,1,ITGS11800819-20180626,SGD,5000.0,,0,0
20180626 09:37:04.900064 +0800 ,20180626 09:37:06.010883 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D15,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471569DOSG1,1,ITGS11800822-20180626,SGD,5000.0,,0,0
20180626 09:37:07.261120 +0800 ,20180626 09:37:08.445203 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D17,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471570DOSG1,1,ITGS11800824-20180626,SGD,5000.0,,0,0
20180626 09:37:09.785087 +0800 ,20180626 09:37:10.885096 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D19,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471571DOSG1,1,ITGS11800826-20180626,SGD,5000.0,,0,0
20180626 09:37:12.283293 +0800 ,20180626 09:37:13.475150 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D1B,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471572DOSG1,1,ITGS11800830-20180626,SGD,5000.0,,0,0
