Date,MatchTime,OrderID,Participant,CounterParty,API,AccountID,TraderID,ContractID,TradePrice,TradeSize,BuySell,StockCode,StockName,Market,Currency,Product,OrderValidity,OrderQty,BalanceQty,MarriedTrade,CustomerInfo
2018-06-26,09:55:22,6145590100010E13,252,252,72252B,0002001,108,61,0.27,500,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,500,0,N,00003471635OSG1
2018-06-26,09:55:25,6145590100010DD0,252,252,72252B,0002411,108,62,0.27,700,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,44900,N,00003471612OSG1
2018-06-26,09:55:25,6145590100010E17,252,252,72252B,0002001,108,62,0.27,700,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,700,0,N,00003471636OSG1
2018-06-26,10:03:29,6145590100010E68,252,252,72252B,0002001,108,3000003,0.7,50000,S,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,50000,0,Y,00000002614TSG1
2018-06-26,10:03:29,6145590100010E69,252,252,72252B,0000000,108,3000003,0.7,50000,B,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,50000,0,Y,00000002615TSG1
2018-06-26,10:51:36,6143F10100010DD4,252,252,72252B,0003017,CCC,139,0.7,1000,S,40F_RY,$ Alliance Mineral,READY,SGD,Cash,GTD,5400,4400,N,00003471491OSG1
2018-06-26,10:51:36,6145590100010CC5,252,252,72252B,0003017,CCC,138,0.69,2000,S,40F_RY,$ Alliance Mineral,READY,SGD,Cash,GTD,2000,0,N,00003471516OSG1
2018-06-26,10:51:36,6145590100010EBF,252,252,72252B,0002001,108,138,0.69,2000,B,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,3000,1000,N,00003471639OSG1
2018-06-26,10:51:36,6145590100010EBF,252,252,72252B,0002001,108,139,0.7,1000,B,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,3000,0,N,00003471639OSG1
2018-06-26,13:10:34,6145590100010DBB,252,401,72252B,0002411,108,8711074,0.3,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49900,N,00003471600OSG1
2018-06-26,13:10:55,6145590100010DBB,252,401,72252B,0002411,108,8711075,0.3,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49800,N,00003471600OSG1
2018-06-26,13:17:27,6145590100010DBB,252,401,72252B,0002411,108,8711079,0.3,1000,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,48800,N,00003471600OSG1
2018-06-26,15:18:17,614559010001122B,252,252,72252B,0002001,108,8711288,0.27,54000,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,54000,0,Y,00000002645TSG1
2018-06-26,15:18:17,614559010001122C,252,252,72252B,0000000,108,8711288,0.27,54000,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,54000,0,Y,00000002646TSG1
